0,All,1
1,Taipei City,1
2,New Taipei City,1
3,Taoyuan City,1
4,Taichung City,1
5,Tainan City,1
6,Kaohsiung City,1
7,Keelung City,1
8,Hsin-chu City,1
9,Hsin-chu County,1
10,Miaoli County,1
11,Chaiyi City,1
12,Changhua County,1
13,Nantou County,1
14,Yunlin County,1
15,Chaiyi County,1
16,Pingtung County,1
17,Yalin County,1
18,Hualien County,1
19,Taitung County,1
20,Wuhu County,1
21,Jinmen County,1
22,Matsu,1
23,All,3
24,Tokyo,3
25,Kanagawa,3
26,Chiba,3
27,Aichi,3
28,Osaka,3
29,Hyogo,3
30,Kyoto,3
31,Fukuoka,3
32,Okinawa,3
33,Hokkaido,3
34,Saitama,3
35,Hioshima,3
36,Miyagi,3
37,Etc,3
38,전국,4
39,서울,4
40,부산,4
41,대구,4
42,인천,4
43,광주,4
44,대전,4
45,울산,4
46,세종,4
47,경기,4
48,강원,4
49,충북,4
50,충남,4
51,전북,4
52,전남,4
53,경북,4
54,경남,4
55,제주,4
